Student ID,House,Age,Events Entered,100m Sprint Time (seconds),High Jump (meters)
S1081,Blue,11,4,17.82,0.83
S1082,Red,12,2,17.26s,0.91
S1083,Blue,15,1,15.7s,1.26
S1084,Yellow,14,3,15.25,1.16
S1085,Yellow,12,1,17.67,0.97
S1086,Blue,14,5,15.39,1.18
S1087,Red,15,5,14.07,1.25
S1088,Yellow,14,1,14.81s,
S1089,Green,11,3,18.24,
S1090,Green,11,3,17.27,0.86
S1091,Blue,12,2,17.46,0.93
S1092,Green,11,1,17.85,0.9
S1093,Red,14,6,16.51,1.2
S1094,Yellow,15,4,14.03,1.3
S1095,Yellow,13,2,17.0,1.13
S1096,Yellow,15,4,15.48,1.34
S1097,Blue,15,6,15.14s,1.23
S1098,Red,14,2,15.18,1.19
S1099,Yellow,11,4,18.26,0.8
S1100,Yellow,11,2,18.13,0.82
S1101,Yellow,13,3,16.26,1.05
S1102,Red,12,4,17.74,0.89
S1103,Yellow,13,4,16.31,1.01
S1104,Green,13,2,16.5,1.08
S1105,Green,13,6,17.0,
S1106,Green,14,5,15.44,1.21
S1107,Blue,13,3,16.14,1.06
S1108,Blue,11,2,18.17,0.83
S1109,Yellow,12,6,16.91,0.95
S1110,Red,15,5,13.27,1.28
S1111,Blue,15,5,14.35s,1.25
S1112,Blue,12,1,17.1s,0.97
S1113,Yellow,11,4,17.35,0.8
S1114,Green,14,3,14.39,
S1115,Yellow,12,2,17.47,0.89
S1116,Yellow,15,4,14.26,1.3
S1117,Blue,13,4,16.73,1.04
S1118,Red,12,6,17.48s,0.95
S1119,Green,15,4,15.56s,1.29
S1120,Green,11,6,18.4,0.8
S1121,Yellow,12,1,17.75,
S1122,Red,12,6,18.02,0.96
S1123,Yellow,12,5,17.0,0.96
S1124,Green,15,6,15.31,1.2
S1125,Blue,13,3,17.07,1.12
S1126,Blue,14,5,14.43,1.2
S1127,Red,13,1,15.72,1.1
S1128,Green,12,4,17.29,1.04
S1129,Blue,13,4,17.37,1.02
S1130,Green,12,2,17.0,1.05
S1131,Blue,13,2,15.58,1.06
S1132,Blue,13,3,15.4,1.11
S1133,Red,14,1,15.68,1.24
S1134,Red,11,1,18.17,0.8
S1135,Green,14,6,15.11,1.19
S1136,Red,13,5,16.51,1.04
S1137,Red,15,2,14.42,1.31
S1138,Yellow,13,2,17.02,1.0
S1139,Blue,12,1,16.35,1.04
S1140,Green,14,5,15.2s,1.2
S1141,Yellow,14,3,16.15,1.17
S1142,Yellow,12,6,16.81,0.92
S1143,Blue,14,1,14.97,1.25
S1144,Red,14,5,15.31s,1.16
S1145,Red,12,2,18.28,1.0
S1146,Green,15,3,14.79,1.23
S1147,Blue,13,2,17.17,1.1
S1148,Yellow,12,1,16.63,0.87
S1149,Blue,13,5,16.21,1.09
S1150,Green,13,3,16.74,1.02
S1151,Red,15,3,14.77s,1.24
S1152,Blue,14,4,15.16s,1.22
S1153,Blue,13,2,14.99,1.1
S1154,Green,15,3,14.94,1.26
S1155,Blue,15,1,15.07,1.25
S1156,Red,14,1,15.75s,1.23
S1157,Blue,13,5,15.31,0.99
S1158,Green,14,4,14.62s,1.16
S1159,Blue,15,6,14.26,1.25
S1160,Red,15,6,14.0,1.29
S1161,Green,15,4,15.24,1.29
S1162,Blue,13,1,15.66,1.06
S1163,Yellow,11,2,17.81,0.79
S1164,Yellow,11,1,17.34,0.86
S1165,Red,14,4,14.42,1.2
S1166,Blue,15,1,15.2,1.27
S1167,Blue,14,6,15.55,1.26
S1168,Red,13,4,15.88,1.05
S1169,Green,13,1,16.32,
S1170,Yellow,14,6,14.15,1.27
S1171,Blue,15,3,15.54s,1.27
S1172,Blue,12,5,16.53,0.95
S1173,Green,13,2,15.16,1.0
S1174,Blue,11,4,17.37s,0.85
S1175,Red,15,1,14.73,1.27
S1176,Yellow,11,3,18.0,0.86
S1177,Yellow,15,4,15.0,1.24
S1178,Blue,12,6,17.56,1.02
S1179,Yellow,14,4,15.48,
S1180,Green,11,1,18.61,
S1181,Yellow,11,1,16.91,0.83
S1182,Green,12,2,17.43,0.87
S1183,Green,12,6,17.43,0.97
S1184,Yellow,15,1,14.81,1.29
S1185,Yellow,12,6,17.05,0.93
S1186,Green,11,1,17.68,0.93
S1187,Green,15,3,14.24,1.3
S1188,Red,15,2,13.58,
S1189,Yellow,15,4,14.3,1.31
S1190,Yellow,13,5,16.94,1.09
S1191,Blue,11,4,18.86,0.87
S1192,Green,13,2,16.01,1.11
S1193,Blue,15,3,14.27,1.29
S1194,Yellow,11,2,17.69,0.83
S1195,Green,14,1,15.36,1.14
S1196,Green,12,2,17.14,0.97
S1197,Blue,15,6,14.88,1.31
S1198,Yellow,12,4,18.0,1.0
S1199,Red,12,4,15.94,0.92
S1200,Red,12,2,16.51s,0.89
S1201,Green,11,1,17.71,0.78
S1202,Green,15,2,14.56,1.36
S1203,Green,13,1,16.53,1.1
S1204,Red,12,4,18.2,0.96
S1205,Blue,15,4,14.04,1.27
S1206,Green,13,4,16.68,1.18
S1207,Red,13,3,16.25s,1.11
S1208,Yellow,11,5,18.03,0.88
S1209,Green,13,4,16.48,1.04
S1210,Green,14,6,15.96,1.24
S1211,Blue,11,2,18.08,
S1212,Red,14,5,14.79,1.14
S1213,Green,12,2,17.43,1.03
S1214,Green,12,5,17.44,
S1215,Green,14,1,14.53,1.21
S1216,Yellow,15,5,14.86,1.22
S1217,Red,13,5,16.26s,1.05
S1218,Green,12,3,17.05,0.92
S1219,Red,13,1,16.35,1.08
S1220,Green,14,5,16.49,1.17
S1221,Yellow,14,5,14.46,1.18
S1222,Green,15,1,14.71,1.25
S1223,Green,15,1,13.48,1.36
S1224,Yellow,15,5,14.61,
S1225,Yellow,11,2,18.55,0.87
S1226,Blue,11,6,16.92,0.84
S1227,Green,12,1,17.83,1.01
S1228,Red,13,1,16.59,1.02
S1229,Green,11,2,17.93,0.9
S1230,Red,13,1,16.2,1.03
S1231,Blue,14,1,15.45,1.19
S1232,Green,12,4,17.2s,0.95
S1233,Blue,13,1,16.29,1.18
S1234,Yellow,15,2,15.24,1.22
S1235,Green,13,5,16.79,1.03
S1236,Red,15,2,14.09,1.2
S1237,Green,15,4,15.27,1.23
S1238,Yellow,13,6,17.42,1.05
S1239,Yellow,15,2,15.6,1.27
S1240,Red,12,3,17.36,0.91
S1241,Green,13,4,15.4s,
S1242,Blue,12,1,16.88s,0.94
S1243,Green,14,6,15.42s,1.18
S1244,Blue,15,5,14.6,1.36
S1245,Red,14,4,14.62,1.19
S1246,Red,13,6,16.71,1.06
S1247,Green,14,4,16.04,1.15
S1248,Blue,14,1,14.7,1.21
S1249,Yellow,12,4,16.76s,1.02
