Creator Handle,Category,Subscriber Count,Avg Video Length (seconds),Uploads Per Month,Avg Views
@MrFinn5682,tech,17618,,11,9219
@ItsZara9652,Tech,50833,625.0,14,13549
@DailyFinn9392,Fitness,214701,316.0,2,74728
@ItsJordan2520,Comedy,159593,288.0,4,49093
@RealJordan7307,gaming,187909,371.0,13,23402
@RealZara6028,Tech,75515,,15,12768
@OfficialRemy737,Gamer_vids,61508,591.0,3,6933
@TeamEzra7535,Beauty,51006,695.0,30,18930
@ProAria5117,Gaming,100025,,4,31587
@DailyMax3332,gaming,50985,589.0,14,100
@RealSky7753,gaming,74720,527.0,4,42871
@DailyLuna6994,fitness_yt,64446,415.0,6,8782
@ItsAria8135,Gamer_vids,33840,643.0,20,2484
@MsMax8906,Tech_Reviews,75607,,24,31964
@TheLeo6485,gaming,91899,555.0,16,27029
@MsSky3288,Cooking,37235,746.0,2,17174
@JustMila8213,Tech_Reviews,9714,563.0,10,8592
@OfficialTheo9110,Comedy,49443,472.0,17,4921
@JustAria2712,Gamer_vids,102090,394.0,26,36161
@ProAsh3533,gaming,76953,619.0,7,12170
@ItsReza80,Cooking,125072,450.0,18,45562
@MsKai9831,Tech,34728,634.0,19,4144
@RealMax2389,Gaming,26629,350.0,2,584
@DailyLuna2948,gaming,60515,399.0,19,11265
@MrLeo5773,fitness_yt,26317,572.0,11,5134
@TeamLuna6558,Tech,19297,551.0,7,13866
@ProEzra909,gaming,127868,525.0,17,47721
@TheTheo9938,gaming,93751,677.0,6,21961
@TheIvy4796,comedy_clips,132458,496.0,23,26603
@TeamAsh3302,Beauty,37528,476.0,19,557
@ItsLuna9516,Gaming,94863,591.0,24,9112
@TeamIvy8727,Fitness,198531,142.0,2,57437
@TeamRemy2265,Comedy,69121,592.0,25,16628
@TeamKai8006,Beauty,160163,208.0,3,26572
@RealTheo3722,gaming,68332,,14,11728
@MsMax9221,Fitness,83888,822.0,23,33739
@TeamNova3801,comedy_clips,73348,491.0,30,23765
@ProFinn9494,Tech_Reviews,35307,363.0,4,14830
@OfficialNova4227,cooking,36163,737.0,14,9233
@TeamMaya3773,beauty,41746,369.0,21,7651
@TeamMila9215,Cooking,53453,414.0,13,22912
@MsLeo7854,Cooking,174893,652.0,7,60406
@RealFinn3464,cooking,74646,458.0,19,34361
@MrJordan768,Gaming,43176,709.0,21,4293
@JustReza5724,beauty,43507,583.0,8,7044
@TeamRemy3429,tech,41628,782.0,16,16898
@ProOmar8577,Gaming,124761,451.0,28,30879
@ItsFinn5314,Comedy,56422,512.0,13,11042
@JustNova4906,comedy_clips,204521,354.0,29,40361
@MsTheo5842,Gaming,81077,340.0,14,28037
@OfficialSky3169,gaming,25754,775.0,8,6756
@DailyAsh5399,Comedy,113470,643.0,24,16223
@RealIvy4508,Gamer_vids,79819,428.0,15,9059
@MrJordan7458,Cooking,160605,472.0,28,27300
@RealOmar9996,Gamer_vids,157463,384.0,4,55254
@ProMax7007,beauty,23887,443.0,1,4141
@TheMax5439,Beauty,41821,15.0,3,4574
@TeamTheo133,beauty,105890,246.0,1,53001
@RealMila5205,Comedy,139984,727.0,29,54973
@RealKai1700,Gaming,279014,,14,72530
@RealFinn8499,Gamer_vids,34261,181.0,15,4305
@JustEzra3575,Gamer_vids,78730,356.0,16,34086
@TeamAsh9182,gaming,11045,770.0,25,4892
@RealAria3696,Beauty,63784,781.0,9,17200
@MsEzra4367,gaming,73244,329.0,25,15232
@RealRemy9623,cooking,145817,483.0,28,28122
@RealIvy9794,gaming,61367,404.0,2,24931
@MrLeo3020,Gamer_vids,232062,591.0,29,17578
@JustReza1247,gaming,101978,,13,42486
@TeamAsh4003,gaming,64274,601.0,7,24170
@TeamAsh7537,Tech_Reviews,22165,487.0,14,11437
@TeamFinn7342,Cooking,45141,796.0,13,11130
@MsFinn162,Comedy,16682,369.0,17,1189
@MsFinn8637,Gaming,40788,479.0,2,16168
@MrMila2091,fitness_yt,97225,479.0,29,8685
@RealJordan6308,beauty,89293,696.0,6,23595
@ItsTheo3809,Gaming,68544,457.0,16,13641
@ItsFinn4499,beauty,115175,576.0,25,13188
@MrTheo8762,beauty,64965,782.0,3,7280
@DailyZara1549,beauty,104252,672.0,25,27342
@MsMila9971,gaming,22852,253.0,27,2717
@TheReza399,Gamer_vids,155840,250.0,22,28979
@TheEzra6568,beauty,27721,,4,10264
@MsLuna1814,Fitness,42942,255.0,17,12062
@JustAsh6434,cooking,21513,364.0,25,8193
@JustLuna974,tech,92324,458.0,15,38601
@ItsLeo7717,comedy_clips,57210,581.0,25,6623
@OfficialKai4156,gaming,174783,137.0,10,12927
@TeamNova5146,Tech_Reviews,70470,,18,14562
@JustMax6911,Tech,32132,357.0,8,100
@DailyKai3111,Gamer_vids,92674,636.0,5,18609
@TheReza2628,beauty,40681,424.0,20,18981
@TheRemy259,Comedy,127240,379.0,20,35811
@RealNova771,tech,84839,436.0,9,9714
@OfficialTheo2095,Cooking,75813,610.0,5,5630
@TheMax5751,Beauty,153380,439.0,4,63598
@DailyMaya1473,gaming,88956,490.0,17,10102
@DailyTheo9952,gaming,95866,682.0,2,34635
@JustZara7101,beauty,55276,353.0,1,24457
@ItsAria9740,cooking,67701,,30,10232
@MrJordan8789,Comedy,54469,813.0,24,21027
@ItsLeo2734,Tech,96842,269.0,1,21738
@RealZara4222,Comedy,236914,630.0,27,69577
@TeamNova4323,Gaming,168694,592.0,17,36947
@TeamNova7896,tech,89886,747.0,7,26968
@RealMax7119,tech,27001,179.0,17,6964
@ItsLeo5339,cooking,28021,565.0,22,12077
@DailyTheo9108,tech,120909,767.0,7,28361
@OfficialAsh906,Fitness,24560,319.0,13,17887
@OfficialAria8274,gaming,382451,473.0,17,65326
@OfficialNova1148,Gamer_vids,75802,459.0,1,29290
@DailyJordan1571,fitness_yt,45986,,20,9722
@MrMax9319,Gaming,59377,377.0,24,21550
@RealMaya1135,Cooking,28472,538.0,24,20545
@RealSky8850,tech,133870,,2,12575
@MsLeo306,gaming,65369,305.0,28,8448
@ProAsh4070,cooking,125975,224.0,23,34906
@TheRemy7069,Fitness,45390,564.0,6,17946
@JustIvy4774,Gaming,133357,534.0,22,16058
@DailyTheo3686,Gaming,48610,440.0,26,16398
@OfficialReza8362,gaming,89310,727.0,13,38743
@TheAsh2580,fitness_yt,168972,311.0,4,52020
@ProIvy351,Gaming,19135,574.0,9,8002
@TeamOmar4765,beauty,91912,715.0,28,9722
@ItsRemy2151,gaming,36009,512.0,20,3330
@MrRemy3886,Comedy,100465,78.0,21,27574
@RealMax988,beauty,102382,544.0,24,11674
@TeamAria9231,fitness_yt,28389,464.0,17,13699
@MrMila3069,Tech,74567,847.0,30,9705
@TeamReza2311,cooking,68645,537.0,21,37657
@MsFinn5331,cooking,265132,248.0,30,58387
@ItsTheo392,Tech_Reviews,176274,487.0,24,66842
@JustAria7944,comedy_clips,69123,616.0,12,31627
@TeamSky4345,tech,81081,,9,18833
@RealRemy3192,tech,57466,375.0,12,22410
@TeamReza589,Cooking,57888,190.0,21,14337
@MrDana9658,Gamer_vids,54357,449.0,16,20994
@OfficialNova9275,cooking,56988,430.0,5,19647
@TeamNova500,gaming,104309,271.0,5,13826
@DailyJordan8260,gaming,106409,317.0,21,8792
@ProNova7743,Beauty,133158,461.0,28,55426
@MsTheo9948,Gaming,75373,798.0,21,15291
@TheKai6878,gaming,30920,683.0,30,11053
@OfficialDana6043,tech,37020,,9,4445
@MrSky8022,Beauty,58577,509.0,24,18072
@MrLuna2514,Gaming,106966,571.0,28,15881
@MsDana2663,Tech,146720,477.0,18,61639
@RealMaya8335,gaming,34701,743.0,24,21260
@OfficialLuna4469,Beauty,9324,362.0,28,2799
@OfficialOmar2363,Gaming,6176,450.0,26,100
@RealTheo6701,Gaming,45827,414.0,20,17221
@JustTheo619,Beauty,98820,738.0,24,518
@MrTheo5903,Tech,185000000,,21,95000000
@OfficialMax194,tech,24088,,13,10728
@MrLeo208,beauty,148271,,2,44867
@OfficialLeo1376,Beauty,113937,586.0,5,39441
@ProAsh8303,Gaming,47645,352.0,21,495
@RealKai2993,Tech,109558,739.0,9,33727
@MsZara1118,gaming,240000000,276.0,4,140000000
@MrEzra3485,Gaming,108425,217.0,19,45761
@ItsMaya7497,cooking,97285,143.0,30,33404
@MrSky5853,gaming,21625,579.0,3,100
@DailyTheo1327,Tech,142146,287.0,20,44022
@ProOmar7890,fitness_yt,284030,457.0,25,111205
@MrRemy7624,beauty,114965,188.0,2,44723
@RealNova896,Gaming,190967,446.0,6,71147
@DailyNova984,tech,31830,136.0,10,8305
@JustRemy8897,Tech_Reviews,67208,315.0,27,30152
@OfficialFinn1764,tech,40446,571.0,4,20896
@ProMax3455,Gamer_vids,58294,354.0,12,26961
@DailyAria8202,Cooking,182548,582.0,22,13312
@RealNova6300,fitness_yt,64749,326.0,9,26474
@JustKai8979,Beauty,150940,249.0,5,19579
@RealReza3120,Comedy,128532,418.0,21,27714
@TheRemy8987,beauty,8053,585.0,6,100
@MsZara4103,Gaming,40873,500.0,24,27239
@ProAsh6219,comedy_clips,84591,518.0,8,30480
@DailyLuna3608,Gaming,162691,453.0,8,31954
@MrZara6146,Tech_Reviews,106149,330.0,27,33287
@RealDana5114,Tech_Reviews,90918,590.0,4,38874
@ProOmar9649,tech,10919,198.0,5,100
@TheJordan6853,Tech,25768,454.0,20,11646
@OfficialDana2180,Gaming,61263,518.0,26,31298
@OfficialAria9399,Gaming,17402,364.0,13,3681
@ProKai1671,Beauty,101031,352.0,26,48158
@DailySky393,Gaming,122952,639.0,22,21114
@OfficialIvy7166,cooking,114231,656.0,3,20983
@TeamKai8933,Gaming,75974,692.0,18,15244
@MsMila8885,Cooking,29342,430.0,21,3470
@OfficialMax6777,Gamer_vids,42956,240.0,24,16938
@ItsAria5281,beauty,62442,450.0,4,21666
@MrMax8877,Comedy,57147,645.0,13,17417
@TeamReza5373,Comedy,53288,307.0,20,14577
@OfficialMila7777,Tech_Reviews,44240,710.0,26,13518
@MrZara8236,Fitness,36479,459.0,21,16204
@MrAsh8576,Tech,157438,680.0,9,48648
@MrSky3028,beauty,60369,324.0,11,17570
@TeamMax8723,Gaming,39084,362.0,22,19022
@JustReza5196,Gaming,36065,596.0,7,7672
@OfficialRemy6696,Gaming,153397,445.0,8,53970
@MsZara6913,Cooking,139823,,9,63067
@JustTheo7161,Tech_Reviews,28534,610.0,28,5710
@ProFinn4274,Gaming,17629,237.0,30,100
@RealRemy5286,Comedy,11268,,5,380
@OfficialAria2858,Gaming,40429,714.0,5,10812
@DailyJordan4064,Tech_Reviews,312000000,335.0,6,210000000
@TeamNova5817,Gamer_vids,22390,296.0,30,8266
@OfficialKai3473,Gamer_vids,150822,303.0,29,15141
@JustTheo2107,Gaming,68982,595.0,19,17298
@DailyLeo6841,Beauty,74542,370.0,10,28802
@JustEzra1226,tech,54599,581.0,4,20114
@OfficialLuna9208,Tech,98256,761.0,3,15513
@ItsAsh12,tech,19843,643.0,21,100
@TheEzra9228,tech,89190,15.0,7,39207
@TheAsh7158,Beauty,26813,756.0,21,17230
@MsAsh6745,comedy_clips,104299,597.0,14,16720
@TeamZara971,Tech_Reviews,47008,363.0,2,16483
@TeamZara3669,Gamer_vids,57348,549.0,21,17025
@MrAria2455,Gaming,62849,761.0,19,23561
@MsEzra9175,Tech,48732,531.0,7,7888
@ProFinn3979,cooking,28344,435.0,12,15579
@ProDana5010,Fitness,79764,408.0,13,39495
@ProOmar6151,Tech,228585,428.0,2,24958
@ProSky7026,Gaming,123762,481.0,11,24063
@ItsReza531,Cooking,59852,472.0,5,9594
@OfficialLeo4305,Gamer_vids,35991,631.0,27,11279
@RealLuna7633,gaming,70697,709.0,18,15380
@ProMax7575,Gaming,70540,376.0,26,33588
@TheMila9367,beauty,11948,619.0,30,1234
@JustMax3458,tech,34939,731.0,17,100
@DailyNova4675,cooking,54674,241.0,12,100
@TeamNova8066,beauty,217281,659.0,25,16128
@DailyIvy7173,tech,104511,452.0,10,9697
@MsMila1145,Gaming,43358,646.0,5,8879
@JustSky1269,Fitness,95290,819.0,23,6279
@TeamMax7224,Gaming,143265,626.0,29,34800
@MrAria9613,comedy_clips,103251,465.0,2,56010
@ItsFinn9743,Tech,3884,669.0,9,100
@RealIvy2827,beauty,77002,265.0,28,18835
@JustZara4425,Comedy,168910,494.0,20,47733
@TheTheo9263,Comedy,55471,593.0,3,15166
@OfficialFinn6624,tech,91357,361.0,25,42392
@JustOmar5118,Comedy,26151,396.0,19,7971
@MsFinn9987,Tech_Reviews,76476,519.0,21,15825
@ItsMax7617,gaming,45115,629.0,19,16066
@ItsEzra9963,gaming,16173,580.0,16,1230
@ItsLeo4031,Cooking,67744,337.0,12,16840
@TeamFinn7639,Tech,80685,,2,5913
@ProMila4002,Comedy,82621,738.0,3,29708
@MrLuna6874,Tech,69265,695.0,20,6376
@RealMila6086,cooking,22676,250.0,2,3249
@JustReza3052,comedy_clips,10886,384.0,14,760
@OfficialMila2703,comedy_clips,107957,,19,36929
@MrReza6526,gaming,21734,360.0,30,8081
@MsNova6553,comedy_clips,60824,349.0,9,35750
@JustZara3995,Tech,99815,803.0,5,36225
@DailyAsh8240,Tech_Reviews,80952,628.0,21,35671
@MsAsh6179,Fitness,37376,904.0,29,690
@JustReza1533,cooking,144337,610.0,30,29156
@JustOmar9804,fitness_yt,226885,446.0,26,71138
@DailyEzra6864,beauty,48568,341.0,22,36704
@DailyMaya6250,Beauty,13166,739.0,4,11540
@RealDana4392,Beauty,36886,428.0,5,15234
@MsTheo9907,fitness_yt,157894,623.0,21,20277
@JustTheo8867,Tech,102541,458.0,13,9770
@MrReza4869,gaming,27551,536.0,10,7581
@JustReza3930,gaming,155020,422.0,25,49228
@TheMila2708,tech,113581,531.0,18,20952
@TheZara6760,gaming,50378,404.0,28,10985
@ItsAsh8746,gaming,21002,327.0,4,18276
@TeamEzra6696,Gaming,80512,585.0,28,35420
@JustTheo6004,gaming,38315,441.0,3,5902
@MsJordan7006,Tech,154797,707.0,27,52419
@ItsMax6239,Fitness,47334,614.0,2,23856
@ProLeo3096,comedy_clips,75960,327.0,13,19921
@MsEzra4880,Cooking,112757,,6,4967
@ProZara7821,beauty,111706,366.0,29,27286
@JustRemy3383,Beauty,25348,,30,14739
@MsOmar5182,Tech,106215,543.0,13,39934
@MsLeo3670,beauty,88010,258.0,5,32099
@RealMaya6013,tech,49398,250.0,17,4333
@TheOmar6634,gaming,97335,679.0,23,20128
@JustEzra3308,Gamer_vids,55305,250.0,3,17959
@TheDana6337,Gaming,48573,393.0,3,22327
@MrLeo1268,Gamer_vids,35701,437.0,30,8708
@JustReza8450,beauty,174045,632.0,2,58195
@MsAria7028,Tech_Reviews,56529,290.0,12,15016
@RealDana4639,cooking,110387,336.0,13,27493
@ItsMaya2986,Comedy,74603,803.0,6,17547
@RealLuna3715,Gamer_vids,16149,506.0,9,7418
@JustAria89,Fitness,56821,656.0,15,13164
@DailyZara7309,Cooking,85408,346.0,15,29065
@TheEzra3427,Fitness,50498,438.0,16,24565
@JustZara2681,fitness_yt,85356,555.0,9,17705
@OfficialKai8014,Cooking,56309,467.0,5,13559
@ProIvy6238,Cooking,113369,300.0,23,45708
@TheAria6627,gaming,27705,615.0,22,10534
@ProMila3779,beauty,162081,721.0,11,43564
@ItsLuna7436,Tech_Reviews,130243,242.0,8,37836
@RealOmar7409,gaming,191953,249.0,19,79536
@ProRemy2013,Tech,60997,385.0,15,27328
@RealNova976,fitness_yt,25616,471.0,13,7423
@DailyLuna3513,Beauty,28188,664.0,28,5579
@DailyIvy9670,Gaming,34804,,9,9192
@MsEzra7038,Cooking,160159,222.0,18,23406
@OfficialRemy4953,Tech,24942,564.0,18,7144
@RealLeo7176,gaming,120570,739.0,23,49563
@ItsFinn4573,gaming,80585,,8,14268
@ProEzra1379,Tech_Reviews,47822,569.0,17,18187
@DailyAsh6765,beauty,15349,234.0,7,3045
@ItsLuna7527,fitness_yt,116109,609.0,21,38573
@OfficialOmar7278,gaming,85027,519.0,22,39880
@ProDana5617,Fitness,14905,509.0,28,1657
@ProEzra2078,Gaming,11313,,7,3412
@MrAria4807,tech,82176,34.0,29,33691
@DailyRemy9777,gaming,102498,683.0,6,32262
@DailyFinn4915,Tech_Reviews,54187,598.0,2,25177
@OfficialLeo7126,Gaming,54192,793.0,16,15491
@OfficialLuna8104,Cooking,31921,177.0,5,100
@MsZara1908,cooking,95985,608.0,17,13836
@TeamDana1050,beauty,30087,,1,4798
@DailyLeo5672,beauty,74066,,23,20100
@ItsOmar7525,Gaming,29552,493.0,13,16637
@TeamEzra114,Comedy,18188,206.0,24,15450
@MrAria8846,comedy_clips,130230,683.0,20,20135
@MrMila6157,Tech,66718,464.0,18,18672
@ItsDana7649,comedy_clips,57792,466.0,19,11156
@DailyRemy1376,Gaming,43182,183.0,4,14814
@OfficialLuna965,gaming,238132,255.0,23,44491
@MrLuna3972,Comedy,179331,794.0,27,58098
@ProMaya5679,gaming,101946,748.0,29,23877
@ItsMax6446,Gaming,31218,348.0,20,7320
@MrZara5112,gaming,28201,569.0,3,7565
@TeamOmar5248,cooking,50483,774.0,3,906
@OfficialAsh141,Gaming,73090,422.0,24,23982
@DailyLuna7568,Gaming,54494,167.0,4,17491
@MsAria2391,Gaming,39118,348.0,11,15284
@DailyNova5238,gaming,170830,866.0,12,17742
@MsReza3827,fitness_yt,30282,293.0,7,172
@TheLuna4020,beauty,30820,15.0,15,7284
@RealIvy923,Tech,87676,422.0,10,38246
@ProEzra5397,Tech_Reviews,79758,540.0,6,15124
@TheLuna8605,comedy_clips,118149,609.0,14,33218
@RealLuna6552,Gaming,112649,650.0,27,379
@ItsAria2948,gaming,77136,349.0,18,15956
@ProReza9566,Beauty,144610,392.0,27,47097
@OfficialEzra5099,Gaming,134368,562.0,17,30690
@MsZara7626,Gaming,101053,519.0,23,33830
@DailyTheo7929,Tech,32448,15.0,7,100
@TeamReza6677,tech,61999,405.0,17,13317
@ItsTheo2971,beauty,14614,564.0,4,9370
@ProTheo6404,tech,13846,374.0,15,4048
@MsOmar9402,Tech_Reviews,97848,758.0,5,31200
@TeamJordan3653,Tech,40410,306.0,29,13578
@ProLeo6319,Tech_Reviews,55068,634.0,17,12414
@ProIvy3572,Tech,20620,381.0,19,2341
@MrJordan6510,tech,22679,509.0,2,2332
@JustOmar7683,Gaming,129976,334.0,10,26685
@ProZara2555,Tech,82633,569.0,7,16455
@MsNova4260,gaming,32871,,4,5980
@RealMaya666,Gaming,121168,593.0,12,10170
@RealSky2349,Cooking,50985,357.0,16,20635
@RealAsh5361,gaming,46348,588.0,12,4951
@TheAria2806,Beauty,124057,262.0,30,55223
@JustMax8952,Comedy,209102,579.0,23,56709
@MsOmar247,Gaming,28966,410.0,13,12084
@TeamMila4576,tech,81046,645.0,6,24680
@MrRemy9117,Beauty,46529,414.0,4,1523
@MsReza9674,beauty,55494,335.0,20,25858
@JustIvy128,Gaming,40773,732.0,9,12557
@DailyRemy4171,beauty,94479,794.0,19,21325
@ProMila8885,tech,138075,769.0,29,47889
@DailyZara5119,tech,8239,458.0,7,100
@TeamMax9583,Beauty,28094,635.0,10,8051
@ProZara5983,gaming,49290,564.0,1,14494
@MsLuna7784,Beauty,137733,659.0,17,15215
@MrNova596,comedy_clips,82595,491.0,28,41719
@OfficialLuna8369,gaming,57964,682.0,11,11685
@JustJordan4148,Gaming,41274,549.0,10,14047
@JustRemy2806,Cooking,38985,254.0,11,10974
@JustNova4530,gaming,78288,742.0,15,20406
@ItsTheo5333,Tech,104629,438.0,14,13719
@ItsDana8505,Tech,55241,639.0,21,27564
@RealNova3256,Tech,16645,593.0,16,14958
@DailyLuna2768,Comedy,77603,558.0,30,21809
