Song Title,Artist,Genre,Release Date,Total Streams,Tempo (BPM),Song Duration (seconds),Popularity Tier
Burning Sunrise,Sir Aurora,Rock,2023-01-26,5461490,128,157,Platinum
Cosmic Voltage,Miss Onyx,Hip-Hop,2020-02-18,4093502,110,209,Silver
Cosmic Voltage,Lil Ember,K-Pop,2021-02-01,2649951,120,281,Bronze
Frozen Gravity,Lady Aurora,R&B,2021-10-14,4559445,111,201,Gold
Sweet Gravity,Lil Phoenix,Rock,2020-09-15,4300805,119,186,Gold
Sapphire Roses,Miss Foxes,Jazz,2021-12-21,3923628,121,193,Silver
Crimson Mirage,DJ Sable,Country,2022-08-12,3956456,142,252,Silver
Paper Horizon,DJ Vega,Electronic,2021-05-26,3635486,101,238,Silver
Wild Echo,Lady Halo,Afrobeats,2020-04-16,2758182,112,263,Bronze
Crimson Mirage,Lady Echo,Electronic,2020-10-11,4096219,118,234,Silver
Endless Echo,DJ Lyric,Pop,2019-03-16,3672172,100,236,Silver
Hollow Voltage,Young Nova,Indie,2022-12-24,3407131,81,244,Bronze
Sapphire Gravity,Lady Halo,Country,2023-10-24,5140857,122,176,Platinum
Golden Rain,Mr Halo,K-Pop,2021-12-27,4409273,111,214,Gold
Midnight Shadows,Miss Echo,Pop,2023-11-03,3425824,95,269,Bronze
Wild Gravity,Lady Drift,Pop,2023-06-12,5802484,115,130,Platinum
Lost Waves,Lil Ember,Hip-Hop,2024-12-11,4787326,133,156,Platinum
Neon Tides,Young Lyric,R&B,2024-09-02,5107424,125,138,Platinum
Lost Bloom,King Foxes,Hip-Hop,2021-11-11,4243153,100,212,Gold
Hollow Sunrise,Sir Phoenix,Jazz,2023-09-11,4564828,109,195,Gold
Hollow Horizon,The Sable,Electronic,2023-03-12,5242634,109,162,Platinum
Hollow Mirage,The Ember,K-Pop,2022-01-17,4420966,120,184,Gold
Faded Echo,Sir Ember,Country,2019-03-09,4575607,139,192,Gold
Cosmic Roses,The Sable,Pop,2021-09-08,3839780,152,211,Silver
Broken Pulse,DJ Halo,Afrobeats,2024-11-10,5140149,123,146,Platinum
Faded Voltage,Neo Ember,Afrobeats,2020-12-27,4408413,127,206,Gold
Lost Shadows,Neo Aurora,Pop,2021-06-09,4939373,133,199,Platinum
Hollow Tides,Neo Drift,Country,2023-06-02,3324755,116,242,Bronze
Electric Mirage,Neo Nova,R&B,2019-12-13,3943868,141,224,Silver
Velvet Gravity,Young Phoenix,Pop,2020-05-18,4091120,141,213,Silver
Paper Skies,DJ Phoenix,Afrobeats,2020-10-22,3408372,107,248,Bronze
Paper Fire,The Skyline,Indie,2023-03-21,3768005,128,218,Silver
Paper Roses,Young Echo,Country,2023-12-09,3898136,151,219,Silver
Wild Lights,King Phoenix,Rock,2021-03-27,4268615,89,183,Gold
Sapphire Echo,Lil Aurora,Jazz,2019-12-16,3412126,138,246,Bronze
Faded Lights,Miss Sable,Afrobeats,2023-08-26,2427245,110,282,Bronze
Cosmic Echo,Sir Phoenix,Pop,2019-12-22,3926321,123,239,Silver
Diamond Storm,Neo Cascade,Pop,2020-04-21,3879160,95,223,Silver
Sapphire Horizon,Miss Cascade,Country,2020-11-11,5430043,119,141,Platinum
Sapphire Shadows,Neo Skyline,Hip-Hop,2020-03-19,2778798,134,292,Bronze
Paper Hearts,Lady Lyric,Afrobeats,2022-04-17,3949865,152,223,Silver
Faded Mirage,Young Drift,Jazz,2021-08-16,4972925,136,164,Platinum
Diamond Tides,Lil Cascade,Country,2019-10-10,4412126,119,178,Gold
Burning Gravity,Miss Lyric,Jazz,2022-05-30,3634354,139,233,Silver
Silent Memories,King Onyx,Indie,2022-08-15,3562818,162,252,Bronze
Burning Waves,Sir Echo,Electronic,2020-03-06,5172270,119,155,Platinum
Wild Waves,The Echo,Indie,2020-07-09,3205372,116,276,Bronze
Neon Sunrise,Miss Drift,Jazz,2024-07-11,2927227,118,315,Bronze
Broken Skies,Miss Echo,Indie,2020-07-08,3747748,121,251,Silver
Sweet Voltage,Lady Vega,Indie,2022-04-12,4303763,101,220,Gold
Paper Hearts,Young Drift,Indie,2021-06-20,2464090,130,291,Bronze
Faded Hearts,DJ Lyric,Hip-Hop,2019-03-16,5333694,107,171,Platinum
Wild Hearts,The Cascade,Country,2021-11-14,4032948,139,205,Silver
Neon Shadows,Neo Vega,K-Pop,2024-10-31,4820650,133,190,Platinum
Sapphire Shadows,King Aurora,Jazz,2020-07-02,5366408,136,126,Platinum
Cosmic Voltage,Lil Vega,R&B,2019-11-03,3237954,135,267,Bronze
Wild Lights,DJ Aurora,Indie,2024-06-12,4349025,131,167,Gold
Wild Lights,DJ Skyline,R&B,2023-05-08,4210696,124,169,Gold
Endless Rain,Lil Onyx,Electronic,2020-08-31,4249854,138,188,Gold
Lost Voltage,Mr Skyline,Hip-Hop,2020-03-19,4612016,132,195,Gold
Paper Skies,The Nova,Country,2022-08-18,4354494,119,214,Gold
Velvet Bloom,DJ Nova,K-Pop,2019-11-06,3682850,134,211,Silver
Endless Memories,DJ Nova,Electronic,2022-07-07,5528308,126,168,Platinum
Sapphire Sunrise,Sir Foxes,Pop,2019-11-02,4313349,112,168,Gold
Burning Echo,DJ Skyline,Indie,2019-01-10,5443722,107,170,Platinum
Frozen Rain,King Phoenix,K-Pop,2023-06-28,4426174,101,220,Gold
Paper Horizon,Neo Sable,Rock,2020-06-19,3661899,116,261,Silver
Burning Shadows,Mr Onyx,Electronic,2024-01-19,3669146,96,246,Silver
Silent Gravity,Lil Maverick,Pop,2020-02-08,3109949,157,238,Bronze
Sapphire Dreams,Neo Halo,Hip-Hop,2019-04-14,1616527,104,337,Bronze
Burning Fire,Lil Ember,Afrobeats,2019-04-03,3542903,126,208,Bronze
Sapphire Sunrise,Neo Skyline,Hip-Hop,2021-09-25,4298514,140,188,Gold
Neon Lights,Young Aurora,Rock,2021-06-09,3860062,141,239,Silver
Broken Memories,Young Foxes,Hip-Hop,2019-06-04,3960891,126,237,Silver
Sapphire Memories,Sir Lyric,R&B,2024-01-29,4957545,113,143,Platinum
Crimson Dreams,DJ Skyline,Indie,2022-05-21,3757457,114,223,Silver
Silent Mirage,Neo Skyline,R&B,2022-02-15,4680318,118,175,Gold
Sweet Lights,Lady Drift,K-Pop,2019-07-22,4783719,116,181,Gold
Hollow Lights,Lil Drift,Rock,2019-11-16,4689266,135,180,Gold
Electric Mirage,Young Ember,Electronic,2023-09-19,4858752,111,203,Platinum
Golden Horizon,Young Ember,Indie,2020-07-08,4322171,140,197,Gold
Paper Sunrise,King Vega,Country,2019-11-27,3931997,119,234,Silver
Sapphire Rain,Miss Foxes,Indie,2024-07-16,4013387,114,236,Silver
Frozen Skies,Sir Drift,R&B,2020-11-11,3944019,118,207,Silver
Broken Horizon,The Nova,Indie,2023-07-15,4083576,125,222,Silver
Broken Echo,Lil Onyx,K-Pop,2020-04-19,4098350,125,209,Silver
Faded Horizon,Sir Halo,Rock,2021-08-22,3369289,126,220,Bronze
Endless Shadows,Young Echo,Afrobeats,2020-05-15,4368076,126,217,Gold
Electric Bloom,The Sable,Rock,2021-03-31,2821850,132,280,Bronze
Paper Memories,DJ Echo,Indie,2021-12-28,3493785,148,247,Bronze
Sweet Tides,Young Aurora,Country,2019-06-25,4344576,162,178,Gold
Silent Hearts,Neo Ember,Pop,2024-08-26,4259719,107,207,Gold
Faded Rain,DJ Cascade,Jazz,2019-08-22,5367954,141,158,Platinum
Golden Echo,Lil Aurora,Country,2023-09-08,4270380,120,206,Gold
Diamond Memories,Sir Phoenix,Indie,2021-08-16,3812476,124,240,Silver
Golden Hearts,The Vega,Electronic,2021-03-21,3650275,152,255,Silver
Burning Skies,Mr Halo,Afrobeats,2019-01-28,4224113,103,203,Gold
Diamond Gravity,Lil Drift,Rock,2021-12-28,5368039,92,143,Platinum
Sapphire Echo,DJ Skyline,Afrobeats,2022-07-09,3647029,123,237,Silver
Frozen Horizon,King Phoenix,Indie,2021-06-04,4027139,116,196,Silver
Diamond Hearts,DJ Lyric,Jazz,2022-06-19,4789722,125,184,Platinum
Golden Roses,Sir Skyline,Pop,2021-04-15,4997763,112,143,Platinum
Electric Horizon,Neo Sable,K-Pop,2021-12-03,5543962,87,133,Platinum
Neon Fire,Young Echo,R&B,2021-10-23,3476718,106,250,Bronze
Silent Shadows,Young Cascade,R&B,2020-03-14,2728702,116,280,Bronze
Diamond Gravity,Young Phoenix,Country,2023-09-28,3333434,129,268,Bronze
Broken Memories,DJ Foxes,R&B,2019-12-29,4351844,122,202,Gold
Faded Mirage,Neo Sable,Hip-Hop,2022-10-24,4588675,146,181,Gold
Broken Voltage,Lady Cascade,R&B,2020-11-12,3548322,80,251,Bronze
Lost Fire,Sir Sable,R&B,2021-11-22,3297901,101,250,Bronze
Faded Echo,The Lyric,Electronic,2021-02-13,4869786,123,183,Platinum
Electric Shadows,Sir Sable,Afrobeats,2023-04-10,5053292,153,166,Platinum
Sapphire Skies,Lil Cascade,Afrobeats,2020-12-26,5339395,141,156,Platinum
Cosmic Waves,Sir Halo,Country,2019-04-25,5474500,123,132,Platinum
Silent Memories,Lady Cascade,Afrobeats,2023-06-03,3491759,139,217,Bronze
Crimson Dreams,Lil Onyx,Rock,2023-07-28,5183913,118,158,Platinum
Velvet Sunrise,DJ Cascade,K-Pop,2023-07-06,4767682,124,159,Gold
Golden Bloom,Miss Cascade,Rock,2024-01-08,3828650,117,229,Silver
Broken Horizon,Sir Lyric,Electronic,2023-02-16,3710514,113,228,Silver
Paper Voltage,DJ Echo,Jazz,2023-04-01,4108309,137,245,Silver
Crimson Horizon,King Foxes,Electronic,2020-05-10,5512106,82,173,Platinum
Faded Roses,The Onyx,Pop,2022-08-12,5342407,127,172,Platinum
Frozen Rain,Neo Maverick,Afrobeats,2024-02-24,5981576,107,111,Platinum
Sweet Waves,King Drift,Hip-Hop,2021-09-18,3484116,127,218,Bronze
Burning Waves,Lady Skyline,Country,2023-04-25,2727484,79,275,Bronze
Frozen Voltage,Mr Maverick,Electronic,2024-09-06,3430893,133,250,Bronze
Crimson Horizon,Sir Cascade,Pop,2021-02-19,4174910,136,228,Silver
Crimson Horizon,DJ Drift,Indie,2019-07-06,5749447,114,146,Platinum
Golden Echo,Neo Nova,Indie,2021-10-28,2275381,119,274,Bronze
Frozen Sunrise,Neo Maverick,Electronic,2021-05-03,3551714,126,240,Bronze
Cosmic Voltage,Miss Lyric,Hip-Hop,2021-04-25,5226776,122,137,Platinum
Velvet Dreams,Young Vega,Afrobeats,2024-11-17,4573997,131,168,Gold
Burning Echo,DJ Skyline,Indie,2019-01-10,5443722,107,170,Platinum
Velvet Waves,Lady Ember,Indie,2022-08-04,3884150,113,202,Silver
Faded Roses,King Lyric,Rock,2023-11-30,4504656,104,225,Gold
Crimson Shadows,Young Cascade,Pop,2023-07-24,3932832,136,218,Silver
Paper Tides,DJ Ember,R&B,2023-11-16,3599794,127,287,Bronze
Faded Lights,Neo Halo,Afrobeats,2020-09-03,5589417,100,154,Platinum
Silent Hearts,King Skyline,Electronic,2023-10-20,3681419,121,264,Silver
Wild Rain,Lil Onyx,Afrobeats,2024-02-22,5200306,108,170,Platinum
Paper Fire,King Skyline,Indie,2021-01-05,4177026,107,215,Silver
Faded Lights,Miss Nova,Country,2021-08-05,2132226,131,332,Bronze
Electric Echo,Sir Nova,R&B,2022-01-05,5194054,100,178,Platinum
Broken Dreams,Lady Nova,Pop,2022-01-15,4970719,164,152,Platinum
Faded Dreams,Neo Lyric,Hip-Hop,2023-02-02,6743684,105,99,Platinum
Silent Lights,Neo Sable,Jazz,2024-12-12,4776740,99,151,Gold
Velvet Tides,DJ Foxes,Electronic,2021-12-12,4244982,130,186,Gold
Paper Waves,Sir Sable,Pop,2024-08-10,4008483,161,225,Silver
Endless Horizon,DJ Phoenix,Hip-Hop,2024-08-08,4005182,123,220,Silver
Broken Gravity,Lil Maverick,R&B,2022-03-20,3680235,133,263,Silver
Silent Dreams,Young Phoenix,Country,2019-04-06,4497519,136,201,Gold
Crimson Horizon,King Foxes,Electronic,2020-05-10,5512106,82,173,Platinum
Endless Rain,Neo Onyx,Hip-Hop,2020-10-19,3999955,136,220,Silver
Diamond Pulse,Sir Vega,Country,2022-09-17,5217531,105,145,Platinum
Neon Horizon,Lil Foxes,Rock,2024-06-28,3552135,123,229,Bronze
Silent Memories,Miss Vega,K-Pop,2022-12-27,4645444,108,201,Gold
Cosmic Shadows,Lady Skyline,Country,2019-06-04,4178632,121,209,Silver
Diamond Voltage,Neo Foxes,K-Pop,2020-12-19,5267806,108,176,Platinum
Neon Fire,Young Sable,Hip-Hop,2020-05-03,4773674,164,133,Gold
Diamond Tides,Sir Halo,Afrobeats,2024-04-26,3939371,127,265,Silver
Golden Pulse,Lil Drift,Hip-Hop,2021-05-03,4328319,129,204,Gold
Endless Sunrise,Neo Ember,Indie,2022-07-15,3979161,104,253,Silver
Electric Echo,DJ Maverick,K-Pop,2023-07-31,3507394,108,266,Bronze
Sapphire Roses,Lil Phoenix,K-Pop,2022-02-21,6479782,144,136,Platinum
Golden Dreams,Miss Drift,Indie,2023-10-07,2931241,131,258,Bronze
Burning Waves,Mr Phoenix,Jazz,2022-05-08,6128589,94,96,Platinum
Midnight Pulse,DJ Aurora,Electronic,2022-01-17,4015353,133,273,Silver
Endless Bloom,The Skyline,R&B,2022-10-25,5120235,133,200,Platinum
Golden Memories,Young Skyline,K-Pop,2021-11-07,3804209,85,264,Silver
Paper Waves,DJ Aurora,Pop,2021-11-23,4724018,116,172,Gold
Faded Rain,Sir Cascade,R&B,2022-07-13,3336374,111,283,Bronze
Endless Skies,Sir Vega,Afrobeats,2024-04-11,3567477,125,233,Bronze
Silent Sunrise,Miss Sable,Hip-Hop,2019-03-19,5258413,106,154,Platinum
Wild Rain,King Drift,Afrobeats,2020-07-13,4586849,154,195,Gold
Faded Voltage,Sir Sable,Rock,2021-06-04,4266064,118,194,Gold
Sweet Voltage,Young Onyx,Afrobeats,2022-02-19,6313712,136,136,Platinum
Velvet Lights,Lady Lyric,Pop,2021-12-05,3616497,91,236,Bronze
Cosmic Pulse,Neo Phoenix,Jazz,2019-06-16,4336574,119,178,Gold
Diamond Voltage,Neo Foxes,K-Pop,2020-12-19,5267806,108,176,Platinum
Lost Bloom,Young Maverick,Electronic,2023-09-12,4294771,113,214,Gold
Lost Lights,Sir Echo,Rock,2022-08-09,3600809,134,251,Bronze
Wild Mirage,DJ Lyric,Country,2021-12-13,4709352,165,167,Gold
Wild Tides,Neo Nova,Indie,2021-08-06,5421125,105,127,Platinum
Electric Hearts,Miss Foxes,R&B,2024-10-27,4387633,145,193,Gold
Hollow Dreams,The Sable,Jazz,2024-08-25,5202038,126,172,Platinum
Frozen Dreams,Lil Echo,Country,2020-12-08,5007576,107,179,Platinum
Electric Echo,The Vega,Hip-Hop,2024-03-19,4645058,120,225,Gold
Sweet Hearts,Lil Foxes,Electronic,2023-03-19,4573904,144,197,Gold
Sweet Tides,Young Skyline,Jazz,2023-07-12,4438806,114,195,Gold
Crimson Tides,DJ Halo,Rock,2024-06-06,5169543,79,188,Platinum
Frozen Skies,Mr Cascade,Rock,2020-09-07,5184927,139,209,Platinum
Burning Memories,Neo Ember,Country,2019-05-14,4750181,151,166,Gold
Diamond Voltage,Lil Onyx,Pop,2024-05-06,4678255,121,186,Gold
Midnight Roses,The Echo,Hip-Hop,2021-04-22,5213657,141,158,Platinum
Endless Skies,The Drift,Afrobeats,2021-12-25,3626678,116,245,Bronze
Endless Hearts,Lil Cascade,Jazz,2021-12-10,4641024,122,203,Gold
Hollow Echo,Lil Phoenix,Jazz,2021-03-30,4010998,95,227,Silver
Lost Lights,Sir Nova,Rock,2020-04-15,2883198,143,267,Bronze
Wild Storm,Lady Maverick,Indie,2024-10-28,3406887,140,275,Bronze
Burning Memories,Young Echo,Afrobeats,2020-10-27,5134788,108,149,Platinum
Velvet Mirage,The Skyline,Indie,2024-09-11,2331789,127,297,Bronze
Golden Waves,Lady Onyx,Hip-Hop,2023-05-31,4115504,111,224,Silver
Hollow Sunrise,Mr Foxes,Country,2019-12-10,3463769,112,265,Bronze
Wild Waves,The Echo,Indie,2020-07-09,3205372,116,276,Bronze
Faded Rain,Neo Sable,Afrobeats,2019-12-10,3898775,115,257,Silver
Faded Voltage,Mr Ember,R&B,2023-01-13,3547579,94,260,Bronze
Sapphire Dreams,Young Onyx,Afrobeats,2024-04-06,4405736,99,210,Gold
Broken Bloom,The Lyric,Jazz,2021-08-05,3004604,104,278,Bronze
Silent Gravity,DJ Sable,Country,2022-12-12,6058885,103,94,Platinum
Midnight Echo,Mr Halo,Hip-Hop,2024-07-03,3382247,108,271,Bronze
Crimson Waves,The Nova,Country,2019-10-12,2983604,121,255,Bronze
Hollow Storm,Lil Nova,Afrobeats,2024-08-21,4545581,83,218,Gold
Hollow Bloom,Sir Lyric,Rock,2020-08-05,3902131,116,222,Silver
Crimson Bloom,Miss Lyric,Afrobeats,2021-07-04,4447758,114,189,Gold
Broken Skies,Miss Nova,K-Pop,2024-07-03,3661550,138,242,Silver
Electric Dreams,The Drift,Indie,2024-11-20,6115733,103,128,Platinum
Silent Echo,King Lyric,Hip-Hop,2021-02-06,3459505,117,250,Bronze
Golden Pulse,Lil Cascade,Electronic,2022-08-27,2509256,122,328,Bronze
Electric Shadows,Lil Vega,Indie,2020-05-26,5104030,104,151,Platinum
Electric Storm,DJ Skyline,K-Pop,2020-01-11,3330062,89,230,Bronze
Paper Memories,Sir Maverick,Jazz,2024-07-22,4814988,143,190,Platinum
Crimson Sunrise,The Sable,Jazz,2024-02-09,4289853,103,188,Gold
Velvet Pulse,Miss Phoenix,Rock,2024-12-12,2216457,115,282,Bronze
Hollow Lights,Young Skyline,R&B,2024-04-15,4215766,114,195,Gold
Broken Roses,King Phoenix,Rock,2022-05-20,3115460,121,258,Bronze
Sweet Sunrise,The Onyx,Pop,2021-08-11,4650975,126,203,Gold
Endless Shadows,Lady Maverick,Indie,2024-08-12,5998954,116,114,Platinum
Electric Memories,Young Nova,Pop,2023-07-03,3728228,128,283,Silver
Golden Dreams,Miss Halo,Rock,2022-01-05,5313236,113,153,Platinum
Wild Roses,Lady Drift,Jazz,2023-05-26,3049006,121,289,Bronze
Wild Gravity,Young Phoenix,Indie,2023-06-21,3426841,135,234,Bronze
Hollow Memories,Neo Halo,R&B,2023-03-04,3092693,128,221,Bronze
Sapphire Storm,Miss Skyline,Electronic,2023-11-21,5733494,133,112,Platinum
Endless Tides,DJ Onyx,Afrobeats,2021-07-25,4538953,97,180,Gold
Hollow Voltage,Miss Maverick,Hip-Hop,2022-12-20,3230995,156,263,Bronze
Faded Skies,King Halo,Country,2021-10-25,3943841,134,207,Silver
Sweet Sunrise,Young Echo,Jazz,2019-11-01,5018157,96,149,Platinum
Burning Echo,Lil Echo,Electronic,2020-03-24,4372294,109,215,Gold
Neon Storm,Young Lyric,Indie,2020-07-26,5332984,122,174,Platinum
Burning Horizon,Lil Phoenix,Electronic,2024-08-16,4772141,104,178,Gold
Wild Mirage,King Drift,Afrobeats,2019-08-14,3694517,101,218,Silver
Golden Mirage,King Drift,K-Pop,2023-06-21,3871368,139,242,Silver
Cosmic Sunrise,Young Maverick,Afrobeats,2020-11-01,4258492,103,166,Gold
Faded Lights,Neo Halo,Afrobeats,2020-09-03,5589417,100,154,Platinum
Midnight Hearts,Lil Drift,R&B,2020-02-13,3340591,129,287,Bronze
Cosmic Sunrise,King Ember,Pop,2020-02-26,3686957,117,212,Silver
Burning Horizon,Miss Nova,Electronic,2022-07-12,4495944,152,199,Gold
Endless Voltage,Mr Nova,Jazz,2019-06-03,4187703,142,205,Silver
Wild Gravity,King Vega,R&B,2024-12-23,3058919,126,282,Bronze
Wild Gravity,King Cascade,Indie,2019-05-12,4524408,110,204,Gold
Silent Fire,Sir Sable,Indie,2024-10-24,1820107,125,337,Bronze
Velvet Rain,Mr Vega,Pop,2023-07-15,5250965,107,148,Platinum
Crimson Bloom,Neo Maverick,Pop,2020-07-21,6002280,117,144,Platinum
Cosmic Waves,King Lyric,Pop,2020-03-04,3740665,139,219,Silver
Neon Rain,DJ Vega,Hip-Hop,2020-04-18,4800276,80,169,Platinum
Neon Skies,Young Sable,Country,2021-09-14,5601827,98,133,Platinum
Broken Rain,Lil Maverick,Indie,2019-04-12,5227482,104,165,Platinum
Endless Hearts,DJ Phoenix,K-Pop,2019-11-22,4096154,84,232,Silver
Burning Pulse,Neo Foxes,Country,2019-09-28,3198458,102,250,Bronze
Velvet Waves,Lil Onyx,Rock,2020-12-30,3213728,106,223,Bronze
Cosmic Skies,Neo Echo,Indie,2023-03-28,4642934,108,158,Gold
Midnight Rain,Neo Cascade,K-Pop,2023-07-12,4487872,141,220,Gold
Frozen Rain,Lady Sable,Pop,2019-05-27,4708588,118,183,Gold
Frozen Roses,Sir Phoenix,R&B,2024-07-06,3759416,156,236,Silver
Electric Fire,Mr Halo,Afrobeats,2021-10-01,3316846,116,273,Bronze
Broken Echo,DJ Aurora,Rock,2021-03-30,2402882,100,300,Bronze
Burning Storm,Sir Phoenix,Hip-Hop,2024-12-09,3997928,117,203,Silver
Endless Sunrise,Miss Ember,Afrobeats,2023-08-19,5209397,108,142,Platinum
Velvet Dreams,The Halo,Afrobeats,2019-12-04,3269463,134,254,Bronze
Endless Dreams,DJ Skyline,Electronic,2024-03-23,4499422,132,185,Gold
